article_id,article_version,url_type_id,url_id,"url","url_name",sort_order,last_updated,"url_description"
52476,27,1,1,"http://","",1,2022-04-07 14:02:30.123000000,""
52476,27,2,2,"http://","",2,2022-04-07 14:02:30.143000000,""
52476,27,3,3,"http://","",3,2022-04-07 14:02:30.160000000,""
52476,27,4,4,"http://","",4,2022-04-07 14:02:30.163000000,""
52477,16,1,1,"http://","",1,2022-04-07 14:09:34.573000000,""
52477,16,2,2,"http://","",2,2022-04-07 14:09:34.587000000,""
52477,16,3,3,"http://","",3,2022-04-07 14:09:34.600000000,""
52477,16,4,4,"http://","",4,2022-04-07 14:09:34.613000000,""
52478,26,1,1,"http://","",1,2025-10-03 15:02:26.390000000,""
52478,26,2,2,"http://","",2,2025-10-03 15:02:26.393000000,""
52478,26,3,3,"http://","",3,2025-10-03 15:02:26.393000000,""
52478,26,4,4,"http://","",4,2025-10-03 15:02:26.397000000,""
52479,69,1,1,"http://","",1,2025-10-03 14:58:15.047000000,""
52479,69,2,2,"http://","",2,2025-10-03 14:58:15.047000000,""
52479,69,3,3,"http://","",3,2025-10-03 14:58:15.050000000,""
52479,69,4,4,"http://","",4,2025-10-03 14:58:15.053000000,""
52480,86,1,1,"http://","",1,2025-10-03 14:48:17.397000000,""
52480,86,2,2,"http://","",2,2025-10-03 14:48:17.400000000,""
52480,86,3,3,"http://","",3,2025-10-03 14:48:17.400000000,""
52480,86,4,4,"http://","",4,2025-10-03 14:48:17.403000000,""
52481,30,1,1,"http://","",1,2025-03-27 12:56:19.403000000,""
52481,30,2,2,"http://","",2,2025-03-27 12:56:19.403000000,""
52481,30,3,3,"http://","",3,2025-03-27 12:56:19.407000000,""
52481,30,4,4,"http://","",4,2025-03-27 12:56:19.410000000,""
52487,33,1,1,"http://","",1,2025-04-03 16:17:00.720000000,""
52487,33,2,2,"http://","",2,2025-04-03 16:17:00.723000000,""
52487,33,3,3,"http://","",3,2025-04-03 16:17:00.723000000,""
52487,33,4,4,"http://","",4,2025-04-03 16:17:00.727000000,""
52489,24,1,1,"http://","",1,2022-04-07 14:19:18.937000000,""
52489,24,2,2,"http://","",2,2022-04-07 14:19:19.037000000,""
52489,24,3,3,"http://","",3,2022-04-07 14:19:19.040000000,""
52489,24,4,4,"http://","",4,2022-04-07 14:19:19.040000000,""
52490,27,1,1,"http://","",1,2022-04-07 14:19:58.927000000,""
52490,27,2,2,"http://","",2,2022-04-07 14:19:58.927000000,""
52490,27,3,3,"http://","",3,2022-04-07 14:19:58.930000000,""
52490,27,4,4,"http://","",4,2022-04-07 14:19:58.930000000,""
52492,20,1,1,"http://","",1,2022-04-07 14:21:36.850000000,""
52492,20,2,2,"http://","",2,2022-04-07 14:21:36.870000000,""
52492,20,3,3,"http://","",3,2022-04-07 14:21:36.880000000,""
52492,20,4,4,"http://","",4,2022-04-07 14:21:36.893000000,""
52494,63,1,1,"http://","",1,2025-09-11 14:03:16.057000000,""
52494,63,2,2,"http://","",2,2025-09-11 14:03:16.063000000,""
52494,63,3,3,"http://","",3,2025-09-11 14:03:16.077000000,""
52494,63,4,4,"http://","",4,2025-09-11 14:03:16.093000000,""
52495,18,1,1,"http://","",1,2022-04-07 16:51:16.840000000,""
52495,18,2,2,"http://","",2,2022-04-07 16:51:16.863000000,""
52495,18,3,3,"http://","",3,2022-04-07 16:51:16.877000000,""
52495,18,4,4,"http://","",4,2022-04-07 16:51:16.890000000,""
52496,57,1,1,"http://","",1,2025-09-11 14:03:44.480000000,""
52496,57,2,2,"http://","",2,2025-09-11 14:03:44.497000000,""
52496,57,3,3,"http://","",3,2025-09-11 14:03:44.500000000,""
52496,57,4,4,"http://","",4,2025-09-11 14:03:44.503000000,""
52497,35,1,1,"http://","",1,2024-06-05 19:22:53.573000000,""
52497,35,2,2,"http://","",2,2024-06-05 19:22:53.577000000,""
52497,35,3,3,"http://","",3,2024-06-05 19:22:53.577000000,""
52497,35,4,4,"http://","",4,2024-06-05 19:22:53.580000000,""
52498,59,1,1,"http://","",1,2025-06-09 19:10:19.350000000,""
52498,59,2,2,"http://","",2,2025-06-09 19:10:19.377000000,""
52498,59,3,3,"http://","",3,2025-06-09 19:10:19.400000000,""
52498,59,4,4,"http://","",4,2025-06-09 19:10:19.423000000,""
52499,23,1,1,"http://","",1,2022-05-18 17:35:40.497000000,""
52499,23,2,2,"http://","",2,2022-05-18 17:35:40.507000000,""
52499,23,3,3,"http://","",3,2022-05-18 17:35:40.513000000,""
52499,23,4,4,"http://","",4,2022-05-18 17:35:40.520000000,""
52500,44,1,1,"http://","",1,2025-03-25 17:51:12.043000000,""
52500,44,2,2,"http://","",2,2025-03-25 17:51:12.047000000,""
